Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=50, eval=False, exp_name='num_128_', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=128, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 42, loss: 1.483510, train acc: 0.939027, train avg acc: 0.902962
Test 42, loss: 1.526320, test acc: 0.890194, test avg acc: 0.846965
Train 43, loss: 1.478629, train acc: 0.943302, train avg acc: 0.910397
Test 43, loss: 1.527625, test acc: 0.891815, test avg acc: 0.847506
Train 44, loss: 1.473653, train acc: 0.944727, train avg acc: 0.913957
Test 44, loss: 1.521282, test acc: 0.894246, test avg acc: 0.846797
Train 45, loss: 1.478183, train acc: 0.943506, train avg acc: 0.911924
Test 45, loss: 1.524176, test acc: 0.890600, test avg acc: 0.846802
Train 46, loss: 1.474246, train acc: 0.942997, train avg acc: 0.909580
Test 46, loss: 1.522973, test acc: 0.889384, test avg acc: 0.842047
Train 47, loss: 1.474379, train acc: 0.943302, train avg acc: 0.909335
Test 47, loss: 1.524950, test acc: 0.890600, test avg acc: 0.843215
Train 48, loss: 1.468936, train acc: 0.945134, train avg acc: 0.913036
Test 48, loss: 1.523994, test acc: 0.889789, test avg acc: 0.841006
Train 49, loss: 1.470372, train acc: 0.945236, train avg acc: 0.915304
Test 49, loss: 1.527739, test acc: 0.888169, test avg acc: 0.842256
