Namespace(add_features=True, batch_size=32, dataset='parislille', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='Paris_Lille', grid_size=10, k=20, lr=0.001, model='dgcnnseg', model_path='', momentum=0.9, no_cuda=False, num_points=2048, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(add_features=True, batch_size=32, dataset='parislille', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='Paris_Lille', grid_size=10, k=20, lr=0.001, model='dgcnnseg', model_path='', momentum=0.9, no_cuda=False, num_points=2048, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Test 39, loss: 1.372292, test acc: 0.416461, test avg acc: 0.126084
Train 40, loss: 1.321707, train acc: 0.466181, train avg acc: 0.149774
Test 40, loss: 1.484772, test acc: 0.438092, test avg acc: 0.151931
Train 41, loss: 1.324319, train acc: 0.470412, train avg acc: 0.150514
Test 41, loss: 1.325096, test acc: 0.428952, test avg acc: 0.137876
Train 42, loss: 1.329181, train acc: 0.458255, train avg acc: 0.146496
Test 42, loss: 1.291126, test acc: 0.468911, test avg acc: 0.156985
Train 43, loss: 1.318221, train acc: 0.474059, train avg acc: 0.151391
Test 43, loss: 1.339285, test acc: 0.429070, test avg acc: 0.123918
Train 44, loss: 1.310342, train acc: 0.476086, train avg acc: 0.153083
Test 44, loss: 1.418593, test acc: 0.420350, test avg acc: 0.144446
Train 45, loss: 1.317283, train acc: 0.468897, train avg acc: 0.151814
Test 45, loss: 1.280044, test acc: 0.464026, test avg acc: 0.159034
Train 46, loss: 1.316734, train acc: 0.463459, train avg acc: 0.148694
Test 46, loss: 1.343239, test acc: 0.430716, test avg acc: 0.130785
Train 47, loss: 1.329878, train acc: 0.453509, train avg acc: 0.145490
Test 47, loss: 1.318904, test acc: 0.460518, test avg acc: 0.152305
Train 48, loss: 1.311842, train acc: 0.469532, train avg acc: 0.151241
Test 48, loss: 1.372092, test acc: 0.446628, test avg acc: 0.155687
Train 49, loss: 1.314398, train acc: 0.471277, train avg acc: 0.153479
Test 49, loss: 1.377686, test acc: 0.452207, test avg acc: 0.130209
Train 50, loss: 1.313371, train acc: 0.462886, train avg acc: 0.149541
Test 50, loss: 1.294119, test acc: 0.458136, test avg acc: 0.156765
Train 51, loss: 1.311119, train acc: 0.476837, train avg acc: 0.153820
Test 51, loss: 1.350359, test acc: 0.434324, test avg acc: 0.151044
Train 52, loss: 1.307992, train acc: 0.479598, train avg acc: 0.153765
Test 52, loss: 1.417734, test acc: 0.452030, test avg acc: 0.136598
Train 53, loss: 1.304487, train acc: 0.483636, train avg acc: 0.155381
Test 53, loss: 1.305455, test acc: 0.448413, test avg acc: 0.141044
Train 54, loss: 1.318594, train acc: 0.465648, train avg acc: 0.150349
Test 54, loss: 1.360680, test acc: 0.462138, test avg acc: 0.143084
Train 55, loss: 1.312733, train acc: 0.470170, train avg acc: 0.151492
Test 55, loss: 1.275119, test acc: 0.489218, test avg acc: 0.159084
Train 56, loss: 1.308752, train acc: 0.479531, train avg acc: 0.153360
Test 56, loss: 1.294755, test acc: 0.476486, test avg acc: 0.158704
Train 57, loss: 1.303292, train acc: 0.476834, train avg acc: 0.154093
Test 57, loss: 1.474276, test acc: 0.422227, test avg acc: 0.145614
Train 58, loss: 1.304852, train acc: 0.481706, train avg acc: 0.156049
Test 58, loss: 1.357306, test acc: 0.458640, test avg acc: 0.141014
Train 59, loss: 1.317713, train acc: 0.477200, train avg acc: 0.152621
Test 59, loss: 1.314350, test acc: 0.472081, test avg acc: 0.154077
Train 60, loss: 1.297833, train acc: 0.492600, train avg acc: 0.158023
Test 60, loss: 1.299501, test acc: 0.459765, test avg acc: 0.159579
Train 61, loss: 1.306498, train acc: 0.477401, train avg acc: 0.154700
Test 61, loss: 1.260781, test acc: 0.509281, test avg acc: 0.162110
Train 62, loss: 1.301257, train acc: 0.475811, train avg acc: 0.153766
Test 62, loss: 1.321318, test acc: 0.476737, test avg acc: 0.159346
Train 63, loss: 1.315433, train acc: 0.473583, train avg acc: 0.153053
Test 63, loss: 1.453556, test acc: 0.378506, test avg acc: 0.105776
Train 64, loss: 1.311390, train acc: 0.478843, train avg acc: 0.153493
Test 64, loss: 1.361935, test acc: 0.441431, test avg acc: 0.153430
Train 65, loss: 1.306188, train acc: 0.478908, train avg acc: 0.153950
Test 65, loss: 1.289839, test acc: 0.474824, test avg acc: 0.140564
Train 66, loss: 1.313315, train acc: 0.479499, train avg acc: 0.153245
Test 66, loss: 1.243838, test acc: 0.545137, test avg acc: 0.171826
Train 67, loss: 1.288217, train acc: 0.492919, train avg acc: 0.157607
Test 67, loss: 1.306187, test acc: 0.482563, test avg acc: 0.149229
Train 68, loss: 1.299276, train acc: 0.492142, train avg acc: 0.156949
Test 68, loss: 1.284388, test acc: 0.489127, test avg acc: 0.159332
Train 69, loss: 1.296138, train acc: 0.493928, train avg acc: 0.158091
Test 69, loss: 1.224895, test acc: 0.519794, test avg acc: 0.168380
Train 70, loss: 1.293638, train acc: 0.502133, train avg acc: 0.161448
Test 70, loss: 1.276194, test acc: 0.491528, test avg acc: 0.161409
Train 71, loss: 1.289515, train acc: 0.503970, train avg acc: 0.162176
Test 71, loss: 1.307597, test acc: 0.495940, test avg acc: 0.152106
Train 72, loss: 1.281008, train acc: 0.502496, train avg acc: 0.161412
Test 72, loss: 1.419439, test acc: 0.470233, test avg acc: 0.146080
Train 73, loss: 1.283719, train acc: 0.512185, train avg acc: 0.162647
Test 73, loss: 1.377213, test acc: 0.456048, test avg acc: 0.155415
Train 74, loss: 1.283084, train acc: 0.506902, train avg acc: 0.162588
Test 74, loss: 1.314478, test acc: 0.497151, test avg acc: 0.167576
Train 75, loss: 1.270308, train acc: 0.520900, train avg acc: 0.167478
Test 75, loss: 1.224567, test acc: 0.547628, test avg acc: 0.175148
Train 76, loss: 1.264019, train acc: 0.525599, train avg acc: 0.168670
Test 76, loss: 1.240879, test acc: 0.542391, test avg acc: 0.172008
Train 77, loss: 1.257076, train acc: 0.528532, train avg acc: 0.168571
Test 77, loss: 1.282110, test acc: 0.497671, test avg acc: 0.154434
Train 78, loss: 1.270954, train acc: 0.513196, train avg acc: 0.163749
Test 78, loss: 1.261140, test acc: 0.525384, test avg acc: 0.164773
Train 79, loss: 1.253511, train acc: 0.536779, train avg acc: 0.171703
Test 79, loss: 1.201019, test acc: 0.559758, test avg acc: 0.174568
Train 80, loss: 1.270298, train acc: 0.515987, train avg acc: 0.162813
Test 80, loss: 1.354397, test acc: 0.482762, test avg acc: 0.157587
Train 81, loss: 1.253977, train acc: 0.533989, train avg acc: 0.169657
Test 81, loss: 1.637718, test acc: 0.457659, test avg acc: 0.154876
Train 82, loss: 1.260102, train acc: 0.533968, train avg acc: 0.168923
Test 82, loss: 1.225532, test acc: 0.535901, test avg acc: 0.164832
Train 83, loss: 1.229379, train acc: 0.550974, train avg acc: 0.175778
Test 83, loss: 1.243788, test acc: 0.530693, test avg acc: 0.158894
Train 84, loss: 1.263863, train acc: 0.531740, train avg acc: 0.169395
Test 84, loss: 1.219142, test acc: 0.544820, test avg acc: 0.181904
Train 85, loss: 1.254258, train acc: 0.539194, train avg acc: 0.169740
Test 85, loss: 1.180468, test acc: 0.582007, test avg acc: 0.181229
Train 86, loss: 1.249138, train acc: 0.539499, train avg acc: 0.171764
Test 86, loss: 1.362904, test acc: 0.474671, test avg acc: 0.161494
Train 87, loss: 1.244600, train acc: 0.539253, train avg acc: 0.169217
Test 87, loss: 1.216893, test acc: 0.562043, test avg acc: 0.173874
Train 88, loss: 1.248713, train acc: 0.532204, train avg acc: 0.167478
Test 88, loss: 1.214827, test acc: 0.529924, test avg acc: 0.149384
Train 89, loss: 1.222681, train acc: 0.548415, train avg acc: 0.172226
Test 89, loss: 1.185726, test acc: 0.562132, test avg acc: 0.184025
Train 90, loss: 1.237137, train acc: 0.542435, train avg acc: 0.171413
Test 90, loss: 1.226121, test acc: 0.541793, test avg acc: 0.176369
Train 91, loss: 1.251588, train acc: 0.540753, train avg acc: 0.169015
Test 91, loss: 1.311143, test acc: 0.503470, test avg acc: 0.161957
Train 92, loss: 1.225602, train acc: 0.551004, train avg acc: 0.172650
Test 92, loss: 1.165768, test acc: 0.591393, test avg acc: 0.179212
Train 93, loss: 1.225587, train acc: 0.549037, train avg acc: 0.171495
Test 93, loss: 1.235855, test acc: 0.535039, test avg acc: 0.183309
Train 94, loss: 1.219944, train acc: 0.553047, train avg acc: 0.174673
Test 94, loss: 1.232046, test acc: 0.520611, test avg acc: 0.149129
Train 95, loss: 1.224926, train acc: 0.547393, train avg acc: 0.171918
Test 95, loss: 1.251676, test acc: 0.505272, test avg acc: 0.159771
Train 96, loss: 1.228126, train acc: 0.557598, train avg acc: 0.176100
Test 96, loss: 1.178950, test acc: 0.558815, test avg acc: 0.168544
Train 97, loss: 1.209106, train acc: 0.562690, train avg acc: 0.175475
